秒杀商品,价格,折扣,开始时间
星农联合红小厨 麻辣小龙虾1.5kg 4-6钱/25-38只 海鲜水产,99,6.7折,16:00
飞利浦（PHILIPS）55PUF6092/T3 55英寸4K超高清 二级能效 科技感机身 WIFI智能液晶电视（银灰色）,3699,6.1折,16:00
联想(Lenovo)小新潮7000 14英寸轻薄笔记本电脑(英特尔八代酷睿I5-8250U 8G 2T+128G R535 office2016)银,5799,8.8折,16:00
【保险套装版】vivo Z1 新一代全面屏AI双摄手机 4GB+64GB 瓷釉黑 移动联通电信全网通4G手机 双卡双待,1648,9.7折,16:00
泰国进口  金枕头榴莲  2.5-3kg  1个装  新鲜水果,349,3.7折,16:00
格力（GREE）正1.5匹变频凉之静Ⅱ二级能效微联智能壁挂空调KFR-35GW/(355971)FNCaD-A2,4599,8.5折,16:00
宏碁(Acer)蜂鸟Swift3微边框金属轻薄本14英寸笔记本电脑SF314(i5-8250U 8G 128G SSD+1T IPS 指纹)小超银,5099,8.9折,16:00
吉列手动剃须刀刮胡刀京东豪华装锋隐致顺（1刀架1刀头+4刀头）,262,5.6折,16:00
泉林本色 不漂白卫生健康本色厕卷纸3层280节*27卷（整箱销售）,79.8,6.8折,16:00
东芝（TOSHIBA）新小黑A3系列 2TB 2.5英寸 USB3.0 移动硬盘,599,8.7折,16:00
温碧泉八杯水臻选套盒七件套（洁面乳+保湿水+嫩肤乳+嫩肤霜+眼霜+精华液）补水保湿护肤化妆品套装礼盒,329,4.0折,16:00
雅诗兰黛（Estee Lauder）特润修护肌透精华露 50ml（精华肌底液 ANR 小棕瓶 收缩毛孔）,789,9.6折,16:00
大疆（DJI）无人机 晓Spark 掌上智能高清航拍无人机 自拍神器（白色）,2999,9.7折,16:00
【曜岩黑耳机套装】一加手机6 6GB+64GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,3299,9.9折,16:00
五粮液股份公司出品 100年传奇淡雅白酒 52度 整箱装 500ml*6瓶,699,3.7折,16:00
滴露Dettol 衣物除菌液 经典松木 2.5L+1L 特惠装 家用衣物消毒液 与洗衣液、柔顺剂配合使用,68.9,7.3折,16:00
华硕顽石(ASUS) 电竞版FL8000UN MX150 4G大显存 15.6英寸笔记本电脑(i7-8550U 8G 128GSSD+1T FHD)香槟金,5799,8.7折,16:00
美的（Midea）13升燃气热水器 智能精准恒温 三档变升电辅防冻 JSQ25-G1(天然气),1599,7.9折,16:00
本腾 1年不限流量+4G无线路由器MiFi 京东云无界物联家庭套餐 无限流量随身WiFi 随行车载宝MiFi 移动/联通/电信4G全网通 【下单评价返京豆】,899,8.4折,16:00
香港红苹果 席梦思床垫代椰棕棉床垫硬(看得到弹簧与内材)M603 1.8×2.0×0.21米,1299,7.7折,16:00
普丽普莱(Puritan’s Pride)辅酶Q10营养软胶囊 100mg 240粒（美国进口）,199,6.5折,16:00
俏侬 手抓饼 香葱味 烘焙食材1000g 10片装（2件起售）,23.8,5.0折,16:00
广东 甘竹 鱼罐头 豆豉鲮鱼227g*3罐,40.8,7.4折,16:00
忠臣（loyola）电陶炉电磁炉家用双控三环火不挑锅茶炉低频辐射升级有童锁LC-E109S,499,3.6折,16:00
海尔（Haier） 151升 电子温控全温区立式风冷无霜钢化玻璃面板冷柜 母婴母乳储藏柜 BD-151WLG,3659,7.4折,16:00
【保护壳套装】Apple iPad 平板电脑 9.7英寸（32G WLAN版/MP2F2CH/A）深空灰色及保护壳套装,2788,7.3折,16:00
西铁城（CITIZEN）手表 自动机械蓝盘大三针男款NH8360-80LB,1490,8.0折,16:00
佳帮手 防风扫把 簸箕套装组合 家用扫地扫帚笤帚软毛扫头发畚箕,55.9,7.2折,16:00
华为（HUAWEI） 笔记本 MateBook X 13英寸轻薄Win10电脑2K屏指纹金属超极本 流光金 i5/4GB/256GB固态硬盘+标配扩展坞,6988,8.6折,16:00
贝德玛 Bioderma 舒妍温和保湿卸妆水 蓝水 500ml,139,5.4折,16:00
美世达钟表 挂钟 客厅现代创意简约时钟家用挂表石英钟静音 大号40*51cm,276,3.6折,16:00
财到（CAIDAO） 纯实木地板原木地板 正宗龙凤檀香二翅豆 上等檀木 厂家直销 香槟色910*95*18,285,9.3折,16:00
哇咖（Wakagym）划船机水阻家用双轨实木划船器 2018新品A,5799,3.3折,16:00
何浩明 DR HO＇S 颈椎牵引器 家用颈托 超轻盈颈椎支撑医用固定器 护颈椎保护脖子颈部 升级牵引,999,3.3折,16:00
