工作岗位,网站,公司名称,工作地点,工资,日期
数据分析助理（双休/带薪休假/朝九晚六）,https://jobs.51job.com/hangzhou-xhq/104526263.html?s=01&t=0,杭州领俊电子商务有限公司,杭州-西湖区,4.5-6千/月,07-15
平台治理-业务数据分析师,https://jobs.51job.com/hangzhou/104509973.html?s=01&t=0,阿里巴巴集团,杭州,,07-15
商品数据分析员,https://jobs.51job.com/hangzhou-jgq/103539201.html?s=01&t=0,浙江几禾服饰有限公司,杭州-江干区,5-8千/月,07-15
数据分析师,https://jobs.51job.com/hangzhou-scq/104499628.html?s=01&t=0,赫基集团－TRENDIANO事业部,杭州-上城区,6-8万/年,07-15
数据分析主管,https://jobs.51job.com/hangzhou-fyq/104159563.html?s=01&t=0,杭州君岭艺术培训有限公司,杭州-富阳区,5-7千/月,07-15
数据分析岗,http://ccic.51job.com/sc/show_job_detail.php?jobid=94488349,中国大地财产保险股份有限公司浙江分公司,杭州-西湖区,4-6千/月,07-15
数据分析师,https://jobs.51job.com/hangzhou/90470031.html?s=01&t=0,杭州昊翌制衣有限公司,杭州,4-6千/月,07-15
服装数据分析员,https://jobs.51job.com/hangzhou-jgq/87192998.html?s=01&t=0,杭州卡尔菲特童装有限公司,杭州-江干区,5-8千/月,07-15
商品数据分析,https://jobs.51job.com/hangzhou-bjq/102959829.html?s=01&t=0,杭州可优比婴童用品有限公司,杭州-滨江区,0.6-1万/月,07-15
数据分析专员,https://jobs.51job.com/hangzhou/104462574.html?s=01&t=0,传化物流集团有限公司（陆鲸科技）,杭州,0.8-1.5万/月,07-15
产品数据分析 (MJ000018),https://jobs.51job.com/shanghai-xhq/104442095.html?s=01&t=0,浙江福邸家居有限公司,异地招聘,6-8千/月,07-15
采购数据分析经理,https://jobs.51job.com/fuzhoue/104435524.html?s=01&t=0,海明威集团杭州公司,异地招聘,1-2万/月,07-15
数据分析师010804,https://jobs.51job.com/hangzhou-yhq/104434982.html?s=01&t=0,爱财科技有限公司,杭州-余杭区,1.2-2.4万/月,07-15
数据分析师,https://jobs.51job.com/hangzhou-bjq/96110122.html?s=01&t=0,浙江明日控股集团股份有限公司,杭州-滨江区,8-10万/年,07-15
数据分析（咨询方向）,https://jobs.51job.com/hangzhou-gsq/70060364.html?s=01&t=0,杭州盛锋营销策划有限公司,杭州-拱墅区,5-8千/月,07-15
数据分析,https://jobs.51job.com/hangzhou-bjq/95178208.html?s=01&t=0,广州衣百服饰有限公司,杭州-滨江区,4-6千/月,07-15
数据分析助理  五险一金+提成+两人间住宿/节日福利,https://jobs.51job.com/hangzhou-xhq/101209754.html?s=01&t=0,杭州八斗信息科技有限公司,杭州-西湖区,4.5-6千/月,07-15
天猫运营助理/数据分析专员,https://jobs.51job.com/hangzhou-yhq/98765029.html?s=01&t=0,芜湖名客网络科技有限公司,杭州-余杭区,6-8万/年,07-15
销售数据分析,https://jobs.51job.com/hangzhou-gsq/96209805.html?s=01&t=0,杭州对话框贸易有限公司,杭州-拱墅区,1.5-2千/月,07-15
