工作岗位,网站,公司名称,工作地点,工资,日期
爬虫开发工程师,https://jobs.51job.com/hangzhou-xhq/104413808.html?s=01&t=0,杭州前方信息技术有限公司,杭州-西湖区,1.2-2.5万/月,07-15
资深爬虫工程师,https://jobs.51job.com/hangzhou-yhq/104408091.html?s=01&t=0,杭州橙鹰数据技术有限公司,杭州-余杭区,2-3万/月,07-15
Python研发工程师（爬虫方向）07-01-28,https://jobs.51job.com/hangzhou-yhq/104396227.html?s=01&t=0,杭州大搜车汽车服务有限公司,杭州-余杭区,0.9-1.5万/月,07-15
爬虫开发工程师,https://jobs.51job.com/hangzhou/103648574.html?s=01&t=0,浙江盘石信息技术股份有限公司,杭州,1-1.5万/月,07-14
高级爬虫工程师,https://jobs.51job.com/hangzhou-bjq/102672508.html?s=01&t=0,杭州贝睿企业咨询管理有限公司,杭州-滨江区,2-3万/月,07-14
爬虫开发工程师,https://jobs.51job.com/hangzhou-bjq/101985237.html?s=01&t=0,苏州蓝牛网络科技有限公司,杭州-滨江区,1.5-2万/月,07-13
爬虫开发工程师,https://jobs.51job.com/hangzhou-jgq/98132958.html?s=01&t=0,杭州思亿欧网络科技股份有限公司,杭州-江干区,1-2.5万/月,07-13
爬虫数据信息处理工程师,https://jobs.51job.com/hangzhou-yhq/102967582.html?s=01&t=0,上海博为峰软件技术有限公司,杭州-余杭区,5-7千/月,07-13
爬虫工程师,https://jobs.51job.com/hangzhou-gsq/76966797.html?s=01&t=0,浙江至讯科技有限公司,杭州-拱墅区,1.2-2万/月,07-13
Python爬虫工程师（杭州）,https://jobs.51job.com/hangzhou-bjq/102846134.html?s=01&t=0,乐其网络科技有限公司,杭州-滨江区,0.8-1万/月,07-13
爬虫开发工程师（公积金管家线）,https://jobs.51job.com/hangzhou/104048092.html?s=01&t=0,杭州煎饼网络技术有限公司,杭州,4-7千/月,07-13
爬虫工程师,https://jobs.51job.com/hangzhou-xhq/96756003.html?s=01&t=0,南派泛娱有限公司,杭州-西湖区,0.7-1.5万/月,07-13
爬虫工程师,https://jobs.51job.com/hangzhou-bjq/102830727.html?s=01&t=0,杭州施强教育科技有限公司,杭州-滨江区,0.8-1.5万/月,07-13
爬虫项目经理,https://jobs.51job.com/hangzhou-bjq/97951793.html?s=01&t=0,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.2-2万/月,07-13
爬虫工程师,https://jobs.51job.com/hangzhou-bjq/103772422.html?s=01&t=0,浙江大华技术股份有限公司,杭州-滨江区,15-25万/年,07-13
爬虫开发工程师,https://jobs.51job.com/hangzhou-xhq/102013779.html?s=01&t=0,浙江携职专修学院,杭州-西湖区,0.6-1万/月,07-12
爬虫开发工程师,https://jobs.51job.com/hangzhou-jgq/98373525.html?s=01&t=0,永安期货股份有限公司,杭州-江干区,15-20万/年,07-12
爬虫开发工程师,https://jobs.51job.com/hangzhou/98147902.html?s=01&t=0,浙江诺诺网络科技有限公司,杭州,1-1.8万/月,07-11
爬虫/python工程师,https://jobs.51job.com/hangzhou-xhq/102002111.html?s=01&t=0,杭州大块科技有限公司,杭州-西湖区,1.2-2.4万/月,07-11
爬虫软件开发工程师,https://jobs.51job.com/hangzhou/68075108.html?s=01&t=0,杭州凡闻科技有限公司,杭州,1.5-2.5万/月,07-11
高级爬虫工程师,https://jobs.51job.com/hangzhou/98605648.html?s=01&t=0,宁波海曙欧菲斯房产经纪有限公司,杭州,15-25万/年,07-11
爬虫工程师,https://jobs.51job.com/hangzhou-gsq/97887901.html?s=01&t=0,杭州大树网络技术有限公司,杭州-拱墅区,1-2万/月,07-10
网络爬虫工程师,https://jobs.51job.com/hangzhou-bjq/78065917.html?s=01&t=0,税友软件集团股份有限公司,杭州-滨江区,15-20万/年,07-09
JAVA开发工程师(爬虫）,https://jobs.51job.com/hangzhou-xhq/103185140.html?s=01&t=0,二六三网络通信股份有限公司,杭州-西湖区,1.2-1.8万/月,07-07
移动端爬虫工程师,https://jobs.51job.com/hangzhou-jgq/96055796.html?s=01&t=0,杭州多麦电子商务股份有限公司,杭州-江干区,1-2万/月,07-05
爬虫工程师,https://jobs.51job.com/hangzhou-gsq/99140856.html?s=01&t=0,金诚集团,杭州-拱墅区,1-1.5万/月,07-01
高级爬虫工程师,https://jobs.51job.com/hangzhou/98332320.html?s=01&t=0,杭州司塔科信息安全技术有限公司,杭州,1.5-2.5万/月,06-10
爬虫开发工程师,https://jobs.51job.com/hangzhou-yhq/93351940.html?s=01&t=0,宽华投资集团有限公司,杭州-余杭区,1.2-1.5万/月,05-25
爬虫工程师,https://jobs.51job.com/hangzhou/94291420.html?s=01&t=0,观澜网络(杭州)有限公司--丁香园,杭州,1-2万/月,05-16
网络安全研发工程师,https://jobs.51job.com/hangzhou-xhq/100857208.html?s=01&t=0,上海焕兴网络科技有限公司,杭州-西湖区,0.8-1.5万/月,07-15
Python开发工程师,https://jobs.51job.com/hangzhou-bjq/104393985.html?s=01&t=0,杭州矛矛予科技有限公司,杭州-滨江区,1.2-1.8万/月,07-15
线上推广,https://jobs.51job.com/hangzhou-gsq/103591072.html?s=01&t=0,杭州华邦房地产代理有限公司,杭州-拱墅区,6-8千/月,07-15
Python开发工程师,https://jobs.51job.com/hangzhou-bjq/102816838.html?s=01&t=0,深圳前海橙色魔方信息技术有限公司,杭州-滨江区,1.5-2万/月,07-15
高级/资深数据挖掘--严选-邮件事业部172,https://jobs.51job.com/hangzhou/93861811.html?s=01&t=0,网易集团,杭州,1.5-2万/月,07-15
安全部-机器行为对抗专家,https://jobs.51job.com/hangzhou/87691627.html?s=01&t=0,阿里巴巴集团,杭州,,07-15
