工作岗位,网站,公司名称,工作地点,工资,日期
量化研究员/交易员,https://jobs.51job.com/hangzhou-xhq/101464418.html?s=01&t=0,杭州骏逸数联网络科技有限公司,杭州-西湖区,0.8-1万/月,07-14
量化研究员,https://jobs.51job.com/hangzhou/81808899.html?s=01&t=0,国海良时期货有限公司,杭州,6-12万/月,07-13
量化研究员,https://jobs.51job.com/hangzhou-scq/102456292.html?s=01&t=0,杭州德亚投资管理有限公司,杭州-上城区,0.8-1万/月,07-13
量化研究员10-03-15,https://jobs.51job.com/hangzhou-yhq/103633819.html?s=01&t=0,杭州大搜车汽车服务有限公司,杭州-余杭区,0.8-1.5万/月,07-13
量化研究员（在校实习生岗）,https://jobs.51job.com/hangzhou-jgq/97303725.html?s=01&t=0,浙江坤廷控股集团有限公司,杭州-江干区,125元/天,07-13
量化研究员（总部）,https://jobs.51job.com/hangzhou/97324560.html?s=01&t=0,信达期货有限公司,杭州,0.8-1.6万/月,07-13
量化研究员（实习生）,https://jobs.51job.com/hangzhou-scq/97153743.html?s=01&t=0,杭州明得浩伦投资管理有限公司,杭州-上城区,100元/天,06-22
量化研究员,https://jobs.51job.com/hangzhou-gsq/96784972.html?s=01&t=0,宏源期货有限公司,杭州-拱墅区,10-15万/年,06-21
量化研究员,https://jobs.51job.com/hangzhou/98608389.html?s=01&t=0,浙江核新同花顺网络信息股份有限公司,杭州,1.5-2.5万/月,06-15
量化研究员,https://jobs.51job.com/hangzhou-yhq/94821461.html?s=01&t=0,浙江朝景投资管理有限公司,杭州-余杭区,0.8-1万/月,05-27
量化策略研究员,https://jobs.51job.com/hangzhou/99175067.html?s=01&t=0,杭州能欣投资有限公司,杭州,0.8-1.5万/月,07-13
股票量化策略研究员,https://jobs.51job.com/hangzhou/102874816.html?s=01&t=0,杭州米和电气设备有限公司,杭州,0.8-1万/月,07-13
宏观、固定收益、策略研究员,https://jobs.51job.com/hangzhou-scq/102584410.html?s=01&t=0,南华期货股份有限公司,杭州-上城区,0.6-1.5万/月,07-13
量化策略研究员,https://jobs.51job.com/hangzhou/99318498.html?s=01&t=0,天鸽互动控股有限公司,杭州,1-1.5万/月,07-13
量化策略研究员,https://jobs.51job.com/hangzhou-jgq/103407920.html?s=01&t=0,杭州开阳星基金管理有限公司,杭州-江干区,0.6-1.2万/月,07-13
量化策略研究员,https://jobs.51job.com/hangzhou/74584943.html?s=01&t=0,杭州热联集团股份有限公司,杭州,1-2.5万/月,07-12
量化策略研究员,https://jobs.51job.com/hangzhou-xcq/101827767.html?s=01&t=0,幻方量化,杭州-下城区,40-80万/年,07-12
期权策略研究员,https://jobs.51job.com/shanghai-pdxq/93024812.html?s=01&t=0,天演资本,异地招聘,50-100万/年,07-11
量化策略研究员,https://jobs.51job.com/hangzhou-xhq/103404853.html?s=01&t=0,杭州大元资本管理有限公司,杭州-西湖区,1-3万/月,06-21
高级量化研究员10-02-13,https://jobs.51job.com/hangzhou-yhq/103919845.html?s=01&t=0,杭州大搜车汽车服务有限公司,杭州-余杭区,1.5-2.5万/月,07-13
高级量化研究员10-02-13,https://jobs.51job.com/hangzhou-yhq/103914403.html?s=01&t=0,杭州大搜车汽车服务有限公司,杭州-余杭区,1.5-2.5万/月,07-13
量化研究员10-02-14,https://jobs.51job.com/hangzhou-yhq/103925807.html?s=01&t=0,杭州大搜车汽车服务有限公司,杭州-余杭区,1-1.5万/月,07-13
策略研究员,https://jobs.51job.com/hangzhou/85633646.html?s=01&t=0,国海良时期货有限公司,杭州,8-12万/年,07-13
资深量化策略研究员,https://jobs.51job.com/hangzhou-xcq/101826132.html?s=01&t=0,幻方量化,杭州-下城区,80-120万/年,06-28
CTA策略研究员,https://jobs.51job.com/hangzhou/83462813.html?s=01&t=0,杭州热联集团股份有限公司,杭州,1-2万/月,06-25
量化策略研究员—实习生,https://jobs.51job.com/hangzhou/74586227.html?s=01&t=0,杭州热联集团股份有限公司,杭州,2-3千/月,06-25
宏观策略研究员(金融研究中心）,https://jobs.51job.com/hangzhou-yhq/103447072.html?s=01&t=0,浙江核新同花顺网络信息股份有限公司,杭州-余杭区,1.5-2万/月,06-18
宏观策略研究员,https://jobs.51job.com/hangzhou/93921057.html?s=01&t=0,浙江核新同花顺网络信息股份有限公司,杭州,1.5-2.5万/月,06-17
量化策略研究员,https://jobs.51job.com/hangzhou-scq/94357362.html?s=01&t=0,杭州明得浩伦投资管理有限公司,杭州-上城区,6-8千/月,06-15
